,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2,prim_county,sec_county,sec_county_state,yr_range2,sec_unique
145,Banks County-Franklin County-GA-1718,"Franklin County, GA",1718,2017,2018,45,808000,63,623000,-18,185000,Banks County,Banks County-Franklin County-GA,Banks County,Franklin County,GA,1718,"Franklin County, GA"
147,Dawson County-Forsyth County-GA-1718,"Forsyth County, GA",1718,2017,2018,796,29608000,512,12518000,284,17090000,Dawson County,Dawson County-Forsyth County-GA,Dawson County,Forsyth County,GA,1718,"Forsyth County, GA"
150,Dawson County-Fulton County-GA-1718,"Fulton County, GA",1718,2017,2018,120,7057000,38,2503000,82,4554000,Dawson County,Dawson County-Fulton County-GA,Dawson County,Fulton County,GA,1718,"Fulton County, GA"
151,Dawson County-Cherokee County-GA-1718,"Cherokee County, GA",1718,2017,2018,99,3021000,50,1411000,49,1610000,Dawson County,Dawson County-Cherokee County-GA,Dawson County,Cherokee County,GA,1718,"Cherokee County, GA"
152,Dawson County-Pickens County-GA-1718,"Pickens County, GA",1718,2017,2018,45,1029000,42,1394000,3,-365000,Dawson County,Dawson County-Pickens County-GA,Dawson County,Pickens County,GA,1718,"Pickens County, GA"
157,Habersham County-Stephens County-GA-1718,"Stephens County, GA",1718,2017,2018,189,4048000,210,7363000,-21,-3315000,Habersham County,Habersham County-Stephens County-GA,Habersham County,Stephens County,GA,1718,"Stephens County, GA"
158,Habersham County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,121,3690000,68,1841000,53,1849000,Habersham County,Habersham County-Gwinnett County-GA,Habersham County,Gwinnett County,GA,1718,"Gwinnett County, GA"
159,Habersham County-Rabun County-GA-1718,"Rabun County, GA",1718,2017,2018,44,1032000,49,928000,-5,104000,Habersham County,Habersham County-Rabun County-GA,Habersham County,Rabun County,GA,1718,"Rabun County, GA"
162,Hall County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,3047,109712000,1781,50233000,1266,59479000,Hall County,Hall County-Gwinnett County-GA,Hall County,Gwinnett County,GA,1718,"Gwinnett County, GA"
163,Hall County-Forsyth County-GA-1718,"Forsyth County, GA",1718,2017,2018,742,29704000,620,16504000,122,13200000,Hall County,Hall County-Forsyth County-GA,Hall County,Forsyth County,GA,1718,"Forsyth County, GA"
165,Hall County-Fulton County-GA-1718,"Fulton County, GA",1718,2017,2018,369,19474000,300,12085000,69,7389000,Hall County,Hall County-Fulton County-GA,Hall County,Fulton County,GA,1718,"Fulton County, GA"
166,Hall County-Barrow County-GA-1718,"Barrow County, GA",1718,2017,2018,377,8299000,441,9241000,-64,-942000,Hall County,Hall County-Barrow County-GA,Hall County,Barrow County,GA,1718,"Barrow County, GA"
168,Hall County-DeKalb County-GA-1718,"DeKalb County, GA",1718,2017,2018,293,7656000,234,6462000,59,1194000,Hall County,Hall County-DeKalb County-GA,Hall County,DeKalb County,GA,1718,"DeKalb County, GA"
170,Hall County-Cobb County-GA-1718,"Cobb County, GA",1718,2017,2018,220,7081000,192,5212000,28,1869000,Hall County,Hall County-Cobb County-GA,Hall County,Cobb County,GA,1718,"Cobb County, GA"
174,Hall County-Clarke County-GA-1718,"Clarke County, GA",1718,2017,2018,113,2627000,130,3648000,-17,-1021000,Hall County,Hall County-Clarke County-GA,Hall County,Clarke County,GA,1718,"Clarke County, GA"
175,Hall County-Walton County-GA-1718,"Walton County, GA",1718,2017,2018,107,2701000,80,1973000,27,728000,Hall County,Hall County-Walton County-GA,Hall County,Walton County,GA,1718,"Walton County, GA"
176,Hall County-Cherokee County-GA-1718,"Cherokee County, GA",1718,2017,2018,72,3987000,97,4183000,-25,-196000,Hall County,Hall County-Cherokee County-GA,Hall County,Cherokee County,GA,1718,"Cherokee County, GA"
177,Hall County-Stephens County-GA-1718,"Stephens County, GA",1718,2017,2018,41,890000,50,669000,-9,221000,Hall County,Hall County-Stephens County-GA,Hall County,Stephens County,GA,1718,"Stephens County, GA"
179,Jackson County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,1641,53223000,530,14836000,1111,38387000,Jackson County,Jackson County-Gwinnett County-GA,Jackson County,Gwinnett County,GA,1718,"Gwinnett County, GA"
181,Jackson County-Barrow County-GA-1718,"Barrow County, GA",1718,2017,2018,664,15434000,516,12067000,148,3367000,Jackson County,Jackson County-Barrow County-GA,Jackson County,Barrow County,GA,1718,"Barrow County, GA"
182,Jackson County-Clarke County-GA-1718,"Clarke County, GA",1718,2017,2018,568,11670000,341,6316000,227,5354000,Jackson County,Jackson County-Clarke County-GA,Jackson County,Clarke County,GA,1718,"Clarke County, GA"
184,Jackson County-Madison County-GA-1718,"Madison County, GA",1718,2017,2018,156,2892000,174,3005000,-18,-113000,Jackson County,Jackson County-Madison County-GA,Jackson County,Madison County,GA,1718,"Madison County, GA"
185,Jackson County-Fulton County-GA-1718,"Fulton County, GA",1718,2017,2018,88,3830000,77,2371000,11,1459000,Jackson County,Jackson County-Fulton County-GA,Jackson County,Fulton County,GA,1718,"Fulton County, GA"
186,Jackson County-DeKalb County-GA-1718,"DeKalb County, GA",1718,2017,2018,73,2327000,31,1146000,42,1181000,Jackson County,Jackson County-DeKalb County-GA,Jackson County,DeKalb County,GA,1718,"DeKalb County, GA"
187,Jackson County-Oconee County-GA-1718,"Oconee County, GA",1718,2017,2018,95,2378000,71,1515000,24,863000,Jackson County,Jackson County-Oconee County-GA,Jackson County,Oconee County,GA,1718,"Oconee County, GA"
